Ma: 4.0,,Ma: 8.0,,Ma: 12.0,,Ma: 16.0,,Ma: 20.0,,Ma: 24.0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
30.047543581616473,2.1802935010482116,30.04754358161648,2.075471698113205,30.04754358161648,1.9287211740041919,30.04754358161648,1.9287211740041919,30.047543581616495,1.9287211740041919,30.04754358161648,1.9287211740041919
34.99207606973058,2.976939203354295,34.99207606973058,2.7253668763102716,34.99207606973057,2.515723270440251,34.99207606973057,2.5157232704402475,34.992076069730594,2.515723270440251,34.99207606973057,2.5157232704402475
39.93660855784469,3.75262054507337,39.93660855784469,3.417190775681341,40.063391442155314,3.1446540880503093,39.936608557844686,3.1656184486373142,39.9366085578447,3.144654088050313,40.0633914421553,3.1446540880503164
49.952456418383505,5.576519916142555,45.00792393026942,4.360587002096434,45.007923930269406,4.109014675052407,45.007923930269406,4.088050314465406,45.00792393026939,4.109014675052407,45.007923930269406,4.088050314465406
54.896988906497626,6.331236897274632,49.95245641838352,5.157232704402514,49.95245641838352,4.8008385744234765,49.952456418383505,4.758909853249474,49.95245641838352,4.7379454926624724,49.95245641838352,4.716981132075471
59.968304278922346,7.358490566037734,55.02377179080824,6.121593291404611,54.896988906497626,5.765199161425574,54.89698890649761,5.744234800838569,54.89698890649764,5.618448637316561,55.02377179080824,5.450733752620543
64.91283676703645,8.029350104821798,59.968304278922346,6.792452830188676,59.96830427892236,5.765199161425574,59.968304278922346,6.163522012578614,59.968304278922346,6.415094339622637,59.968304278922346,6.268343815513624
69.98415213946117,8.80503144654088,64.91283676703644,7.651991614255763,64.91283676703645,7.148846960167713,64.91283676703645,6.960167714884694,64.91283676703644,6.855345911949684,64.91283676703644,6.477987421383645
74.92868462757528,9.182389937106919,69.85736925515054,8.050314465408803,69.85736925515054,7.819706498951781,69.98415213946117,7.735849056603769,69.98415213946117,7.568134171907751,69.85736925515054,6.876310272536685
79.99999999999997,9.664570230607964,74.92868462757527,8.679245283018867,74.92868462757527,8.092243186582806,75.05546751188588,7.966457023060794,74.92868462757527,8.134171907756812,75.05546751188588,8.071278825995805
84.9445324881141,9.727463312368974,80,8.763102725366874,80,8.532494758909849,79.99999999999997,8.406708595387839,79.99999999999997,8.197064989517818,79.99999999999997,8.092243186582806
90.01584786053884,9.643605870020963,84.94453248811409,8.972746331236895,84.94453248811409,8.763102725366874,84.94453248811409,8.63731656184486,84.94453248811409,8.469601677148846,84.9445324881141,8.38574423480084
45.007923930269406,4.528301886792448,90.01584786053883,9.014675052410901,89.8890649762282,8.574423480083853,90.01584786053883,8.42767295597484,90.01584786053883,8.176100628930815,90.01584786053883,8.092243186582806
